metabolite_id,n_prod_iJO1366,verdict_iJO1366,n_prod_iAF1260,verdict_iAF1260,n_prod_iMM904,verdict_iMM904,cross_organism_agreement
kdo2lipid4p_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
leutrna_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
lys__L_c,5,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
mal__L_c,5,AUTOPOIETIC,4,AUTOPOIETIC,6,HOMEOSTATIC,DISAGREE
maltttr_c,,MISSING,4,HOMEOSTATIC,,MISSING,PARTIAL
man6pglyc_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
mettrna_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
mi1p__D_c,,MISSING,0,HOMEOSTATIC,,MISSING,PARTIAL
mmcoa__S_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
n4abutn_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
no2_c,,MISSING,3,HOMEOSTATIC,,MISSING,PARTIAL
no_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
oaa_c,9,AUTOPOIETIC,7,AUTOPOIETIC,3,AUTOPOIETIC,AGREE
ocdcaACP_c,3,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
octdp_c,,MISSING,1,AUTOPOIETIC,,MISSING,PARTIAL
pa120_c,3,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
pa180_c,3,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
pad_c,,MISSING,,MISSING,0,HOMEOSTATIC,PARTIAL
pdx5p_c,,MISSING,2,AUTOPOIETIC,,MISSING,PARTIAL
pep_c,3,AUTOPOIETIC,3,AUTOPOIETIC,3,AUTOPOIETIC,AGREE
pepd_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
pgp120_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
pheac_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
phphhlipa_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
pi_c,,MISSING,243,AUTOPOIETIC,,MISSING,PARTIAL
pimACP_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
pnto__R_c,,MISSING,,MISSING,2,HOMEOSTATIC,PARTIAL
ppgpp_c,2,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
pppg9_c,,MISSING,2,AUTOPOIETIC,,MISSING,PARTIAL
prbatp_c,,MISSING,1,AUTOPOIETIC,,MISSING,PARTIAL
ps180_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
psd5p_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
pydx5p_c,,MISSING,4,AUTOPOIETIC,,MISSING,PARTIAL
pyr_c,53,AUTOPOIETIC,51,AUTOPOIETIC,14,AUTOPOIETIC,AGREE
rdmbzi_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
rib__D_c,7,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
ribflv_c,7,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
rml1p_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
rnam_c,,MISSING,,MISSING,0,HOMEOSTATIC,PARTIAL
seln_c,,MISSING,0,HOMEOSTATIC,,MISSING,PARTIAL
ser__L_c,,MISSING,,MISSING,2,AUTOPOIETIC,PARTIAL
skm_c,2,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
succ_c,16,AUTOPOIETIC,15,AUTOPOIETIC,8,AUTOPOIETIC,AGREE
sufse_c,3,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
tdcoa_c,,MISSING,2,HOMEOSTATIC,,MISSING,PARTIAL
tdec2eACP_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
thf_c,8,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
thm_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
thmmp_c,3,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
thmtp_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
trdox_c,,MISSING,,MISSING,10,AUTOPOIETIC,PARTIAL
trnaarg_c,,MISSING,,MISSING,0,HOMEOSTATIC,PARTIAL
trnaleu_c,,MISSING,0,HOMEOSTATIC,,MISSING,PARTIAL
ttc_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
ttdcap_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
u3hga_c,,MISSING,1,AUTOPOIETIC,,MISSING,PARTIAL
uagmda_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
unagamu_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
xmp_c,3,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
xylt_c,,MISSING,,MISSING,2,HOMEOSTATIC,PARTIAL
