gene,table,time_point,log2_fold_change,abs_log2_FC,kappa_V_predicted,mapping_status
flgK,1,T4,0.06,0.06,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flgK,1,T5,-0.04,0.04,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flgK,1,T6,-0.31,0.31,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flgK,1,T7,-0.39,0.39,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flgK,1,T8,-0.77,0.77,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
fliD,1,T1,0.09,0.09,0.0,GLOBAL (uses biomass-deficit curvature time-series)
fliD,1,T2,-0.08,0.08,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
fliD,1,T3,-0.39,0.39,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
fliD,1,T4,-0.25,0.25,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
fliD,1,T5,-0.14,0.14,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
fliD,1,T6,-0.15,0.15,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
fliD,1,T7,-0.24,0.24,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
fliD,1,T8,-0.25,0.25,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
fliS,1,T1,-0.04,0.04,0.0,GLOBAL (uses biomass-deficit curvature time-series)
fliS,1,T2,-0.24,0.24,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
fliS,1,T3,-0.59,0.59,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
fliS,1,T4,-0.63,0.63,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
fliS,1,T5,-0.34,0.34,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
fliS,1,T6,-0.3,0.3,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
fliS,1,T7,-0.63,0.63,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
fliS,1,T8,-0.9,0.9,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
fliM,1,T1,-0.01,0.01,0.0,GLOBAL (uses biomass-deficit curvature time-series)
fliM,1,T2,-0.32,0.32,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
fliM,1,T3,-0.54,0.54,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
fliM,1,T4,-0.49,0.49,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
fliM,1,T5,-0.33,0.33,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
fliM,1,T6,0.18,0.18,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
fliM,1,T7,-0.29,0.29,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
fliM,1,T8,-1.04,1.04,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
fliE,1,T1,-0.36,0.36,0.0,GLOBAL (uses biomass-deficit curvature time-series)
fliE,1,T2,-0.81,0.81,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
fliE,1,T3,-0.51,0.51,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
fliE,1,T4,-0.84,0.84,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
fliE,1,T5,-0.47,0.47,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
fliE,1,T6,-0.24,0.24,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
fliE,1,T7,-0.39,0.39,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
fliE,1,T8,-1.2,1.2,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
motA,1,T1,-0.2,0.2,0.0,GLOBAL (uses biomass-deficit curvature time-series)
motA,1,T2,-0.19,0.19,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
motA,1,T3,-0.62,0.62,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
motA,1,T4,-0.22,0.22,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
motA,1,T5,-0.21,0.21,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
motA,1,T6,-0.83,0.83,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
motA,1,T7,-0.23,0.23,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
motA,1,T8,-0.27,0.27,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
cheR,1,T1,0.09,0.09,0.0,GLOBAL (uses biomass-deficit curvature time-series)
cheR,1,T2,-0.05,0.05,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
cheR,1,T3,0.42,0.42,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
cheR,1,T4,-0.4,0.4,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
cheR,1,T5,-0.2,0.2,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
cheR,1,T6,0.12,0.12,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
cheR,1,T7,-0.02,0.02,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
cheR,1,T8,0.11,0.11,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
fhiA,1,T1,0.03,0.03,0.0,GLOBAL (uses biomass-deficit curvature time-series)
fhiA,1,T2,0.06,0.06,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
fhiA,1,T3,0.07,0.07,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
fhiA,1,T4,0.47,0.47,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
fhiA,1,T5,0.08,0.08,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
fhiA,1,T6,0.31,0.31,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
fhiA,1,T7,0.21,0.21,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
fhiA,1,T8,0.12,0.12,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
csrA,1,T1,0.02,0.02,0.0,GLOBAL (uses biomass-deficit curvature time-series)
csrA,1,T2,-0.48,0.48,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
csrA,1,T3,-0.29,0.29,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
csrA,1,T4,-0.31,0.31,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
csrA,1,T5,-0.5,0.5,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
csrA,1,T6,-0.49,0.49,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
csrA,1,T7,-0.07,0.07,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
csrA,1,T8,-0.15,0.15,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
hns,1,T1,0.13,0.13,0.0,GLOBAL (uses biomass-deficit curvature time-series)
hns,1,T2,0.32,0.32,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
hns,1,T3,0.42,0.42,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
hns,1,T4,0.63,0.63,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
hns,1,T5,0.09,0.09,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
hns,1,T6,1.21,1.21,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
hns,1,T7,0.28,0.28,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
hns,1,T8,0.06,0.06,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
lrhA,1,T1,-0.07,0.07,0.0,GLOBAL (uses biomass-deficit curvature time-series)
lrhA,1,T2,0.09,0.09,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
lrhA,1,T3,0.36,0.36,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
lrhA,1,T4,0.31,0.31,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
lrhA,1,T5,0.16,0.16,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
lrhA,1,T6,0.32,0.32,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
lrhA,1,T7,0.42,0.42,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
lrhA,1,T8,0.33,0.33,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
ygiX,1,T1,-0.2,0.2,0.0,GLOBAL (uses biomass-deficit curvature time-series)
ygiX,1,T2,-0.17,0.17,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
ygiX,1,T3,0.08,0.08,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
ygiX,1,T4,-0.41,0.41,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
ygiX,1,T5,-0.15,0.15,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
ygiX,1,T6,-0.26,0.26,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
ygiX,1,T7,-0.09,0.09,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
ygiX,1,T8,-0.03,0.03,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
bolA,2,T1,0.21,0.21,0.0,GLOBAL (uses biomass-deficit curvature time-series)
bolA,2,T2,0.02,0.02,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
bolA,2,T3,-0.65,0.65,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
bolA,2,T4,-0.01,0.01,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
bolA,2,T5,-0.03,0.03,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
bolA,2,T6,-0.08,0.08,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
bolA,2,T7,-0.05,0.05,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
bolA,2,T8,-0.61,0.61,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
ygaM,2,T1,-0.1,0.1,0.0,GLOBAL (uses biomass-deficit curvature time-series)
ygaM,2,T2,0.08,0.08,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
ygaM,2,T3,-0.55,0.55,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
ygaM,2,T4,0.3,0.3,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
ygaM,2,T5,0.29,0.29,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
ygaM,2,T6,-0.31,0.31,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
ygaM,2,T7,0.16,0.16,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
ygaM,2,T8,0.12,0.12,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
yhiW,2,T1,-0.09,0.09,0.0,GLOBAL (uses biomass-deficit curvature time-series)
yhiW,2,T2,-0.03,0.03,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
yhiW,2,T3,-0.51,0.51,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
yhiW,2,T4,-0.04,0.04,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
yhiW,2,T5,0.07,0.07,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
yhiW,2,T6,-0.24,0.24,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
yhiW,2,T7,-0.05,0.05,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
yhiW,2,T8,-0.34,0.34,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
yhiX,2,T1,0.08,0.08,0.0,GLOBAL (uses biomass-deficit curvature time-series)
yhiX,2,T2,-0.15,0.15,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
yhiX,2,T3,-0.33,0.33,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
yhiX,2,T4,-0.08,0.08,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
yhiX,2,T5,-0.12,0.12,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
yhiX,2,T6,-0.25,0.25,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
yhiX,2,T7,-0.18,0.18,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
yhiX,2,T8,-0.09,0.09,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
ychK,2,T1,0.21,0.21,0.0,GLOBAL (uses biomass-deficit curvature time-series)
ychK,2,T2,-0.02,0.02,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
ychK,2,T3,-1.47,1.47,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
ychK,2,T4,0.15,0.15,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
ychK,2,T5,0.06,0.06,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
ychK,2,T6,-0.01,0.01,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
ychK,2,T7,0.18,0.18,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
ychK,2,T8,-0.36,0.36,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
ugpC,2,T1,-0.28,0.28,0.0,GLOBAL (uses biomass-deficit curvature time-series)
ugpC,2,T2,0.0,0.0,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
ugpC,2,T3,-0.56,0.56,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
ugpC,2,T4,0.1,0.1,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
ugpC,2,T5,-0.14,0.14,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
ugpC,2,T6,0.09,0.09,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
ugpC,2,T7,-0.05,0.05,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
ugpC,2,T8,-0.24,0.24,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
yhhA,2,T1,-0.01,0.01,0.0,GLOBAL (uses biomass-deficit curvature time-series)
yhhA,2,T2,-0.26,0.26,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
yhhA,2,T3,-0.16,0.16,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
yhhA,2,T4,-0.45,0.45,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
yhhA,2,T5,-0.36,0.36,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
yhhA,2,T6,-0.08,0.08,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
yhhA,2,T7,-0.28,0.28,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
yhhA,2,T8,-0.15,0.15,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
treA,2,T1,-0.12,0.12,0.0,GLOBAL (uses biomass-deficit curvature time-series)
treA,2,T2,-0.02,0.02,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
treA,2,T3,-0.36,0.36,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
treA,2,T4,-0.01,0.01,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
treA,2,T5,0.02,0.02,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
treA,2,T6,0.03,0.03,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
treA,2,T7,0.07,0.07,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
treA,2,T8,-0.01,0.01,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
yhiO,2,T1,0.05,0.05,0.0,GLOBAL (uses biomass-deficit curvature time-series)
yhiO,2,T2,0.15,0.15,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
yhiO,2,T3,0.62,0.62,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
yhiO,2,T4,-0.13,0.13,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
yhiO,2,T5,0.01,0.01,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
yhiO,2,T6,0.34,0.34,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
yhiO,2,T7,0.08,0.08,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
yhiO,2,T8,0.35,0.35,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
yedU,2,T1,0.1,0.1,0.0,GLOBAL (uses biomass-deficit curvature time-series)
yedU,2,T2,0.49,0.49,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
yedU,2,T3,0.27,0.27,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
yedU,2,T4,0.51,0.51,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
yedU,2,T5,0.06,0.06,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
yedU,2,T6,-0.17,0.17,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
yedU,2,T7,0.27,0.27,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
yedU,2,T8,0.16,0.16,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
yceK,2,T1,0.2,0.2,0.0,GLOBAL (uses biomass-deficit curvature time-series)
yceK,2,T2,0.14,0.14,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
yceK,2,T3,0.42,0.42,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
yceK,2,T4,0.02,0.02,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
yceK,2,T5,0.18,0.18,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
yceK,2,T6,-0.01,0.01,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
yceK,2,T7,0.13,0.13,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
yceK,2,T8,0.12,0.12,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
b1758,2,T1,-0.13,0.13,0.0,GLOBAL (uses biomass-deficit curvature time-series)
b1758,2,T2,0.07,0.07,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
b1758,2,T3,0.3,0.3,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
b1758,2,T4,-0.14,0.14,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
