uniprot,gene_name,bnum,cog_class
P0A8M0,asnS,b0930,INFORMATION STORAGE AND PROCESSING
P0A8L1,serS,b0893,INFORMATION STORAGE AND PROCESSING
P0AEX9,malE,b4034,METABOLISM
P0A786,pyrB,b4245,METABOLISM
P05791,ilvD,b3771,METABOLISM
P77748,ydiJ,b1687,METABOLISM
P17315,cirA,b2155,METABOLISM
P0ABH9,clpA,b0882,CELLULAR PROCESSES AND SIGNALING
P0C0V0,degP,b0161,CELLULAR PROCESSES AND SIGNALING
P31554,lptD,b0054,CELLULAR PROCESSES AND SIGNALING
P06612,topA,b1274,INFORMATION STORAGE AND PROCESSING
P11875,argS,b1876,INFORMATION STORAGE AND PROCESSING
P04805,gltX,b2400,INFORMATION STORAGE AND PROCESSING
P0A7V0,rpsB,b0169,INFORMATION STORAGE AND PROCESSING
P33363,bglX,b2132,METABOLISM
P0C8J6,gatY,b2096,METABOLISM
P69786,ptsG,b1101,METABOLISM
P05020,pyrC,b1062,METABOLISM
P11447,argH,b3960,METABOLISM
P22106,asnB,b0674,METABOLISM
P00509,aspC,b0928,METABOLISM
P0A836,sucC,b0728,METABOLISM
P0AGE9,sucD,b0729,METABOLISM
P0A6H1,clpX,b0438,CELLULAR PROCESSES AND SIGNALING
P0A6H5,hslU,b3931,CELLULAR PROCESSES AND SIGNALING
P30958,mfd,b1114,INFORMATION STORAGE AND PROCESSING
P08312,pheS,b1714,INFORMATION STORAGE AND PROCESSING
P24182,accC,b3256,METABOLISM
P0A953,fabB,b2323,METABOLISM
Q47146,fadE,b0221,METABOLISM
P0C8J8,gatZ,b2095,METABOLISM
P0A7D4,purA,b4177,METABOLISM
P0A7E5,pyrG,b2780,METABOLISM
P00895,trpE,b1264,METABOLISM
P09832,gltD,b3213,METABOLISM
P08142,ilvB,b3671,METABOLISM
P26616,maeA,b1479,METABOLISM
P07014,sdhB,b0724,METABOLISM
P37689,gpmI,,
P38054,cusA,b0575,METABOLISM
P0ABC7,hflK,b4174,CELLULAR PROCESSES AND SIGNALING
P02930,tolC,b3035,CELLULAR PROCESSES AND SIGNALING
P62399,rplE,b3308,INFORMATION STORAGE AND PROCESSING
P0ABD5,accA,b0185,METABOLISM
P0A7A7,plsB,b4041,METABOLISM
P05459,pdxB,b2320,METABOLISM
P23721,serC,b0907,METABOLISM
P0A867,talA,b2464,METABOLISM
P00944,xylA,b3565,METABOLISM
P0AC53,zwf,b1852,METABOLISM
P08660,lysC,b4024,METABOLISM
P07023,tyrA,b2600,METABOLISM
P0AEM9,fliY,b1920,METABOLISM
P0AFG6,sucB,b0727,METABOLISM
P22259,pckA,,
P0AFK0,pmbA,b4235,POORLY CHARACTERIZED
P0ADE8,ygfZ,b2898,POORLY CHARACTERIZED
P05825,fepA,b0584,METABOLISM
P75780,fiu,b0805,METABOLISM
P09169,ompT,b0565,CELLULAR PROCESSES AND SIGNALING
P0A698,uvrA,b4058,INFORMATION STORAGE AND PROCESSING
P0A9P9,idnO,b4266,METABOLISM
P18843,nadE,b1740,METABOLISM
P0A6P9,eno,b2779,METABOLISM
P27302,tktA,b2935,METABOLISM
P0ABP8,deoD,b4384,METABOLISM
P24171,dcp,b1538,METABOLISM
P37095,pepB,b2523,METABOLISM
P09551,argT,b2310,METABOLISM
P31660,prpC,b0333,METABOLISM
P27306,sthA,b3962,METABOLISM
Q46856,yqhD,b3011,METABOLISM
P11454,entF,b0586,METABOLISM
P0AE06,acrA,b0463,CELLULAR PROCESSES AND SIGNALING
P02931,ompF,b0929,CELLULAR PROCESSES AND SIGNALING
P0A903,bamC,b2477,CELLULAR PROCESSES AND SIGNALING
P60906,hisS,b2514,INFORMATION STORAGE AND PROCESSING
P0A7L0,rplA,b3984,INFORMATION STORAGE AND PROCESSING
P0AEK4,fabI,b1288,METABOLISM
P02943,lamB,b4036,METABOLISM
P00490,malP,b3417,METABOLISM
P0A796,pfkA,b3916,METABOLISM
P00550,mtlA,b3599,METABOLISM
P02925,rbsB,b3751,METABOLISM
P0AB89,purB,b1131,METABOLISM
P18335,argD,b3359,METABOLISM
P0A6A6,leuC,b0072,METABOLISM
P0A879,trpB,b1261,METABOLISM
P33195,gcvP,b2903,METABOLISM
P00562,metL,b3940,METABOLISM
P37902,gltI,b0655,METABOLISM
P0A9X4,mreB,b3251,CELLULAR PROCESSES AND SIGNALING
P06715,gor,b3500,METABOLISM
P31979,nuoF,b2284,METABOLISM
P67910,hldD,,
P0AGD7,ffh,b2610,CELLULAR PROCESSES AND SIGNALING
P0AG90,secD,b0408,CELLULAR PROCESSES AND SIGNALING
P76116,yncE,b1452,POORLY CHARACTERIZED
P16700,cysP,b2425,METABOLISM
P60785,lepA,b2569,CELLULAR PROCESSES AND SIGNALING
P06996,ompC,b2215,CELLULAR PROCESSES AND SIGNALING
P0A8J8,rhlB,b3780,INFORMATION STORAGE AND PROCESSING
P46837,yhgF,b3407,INFORMATION STORAGE AND PROCESSING
P60240,rapA,b0059,INFORMATION STORAGE AND PROCESSING
P0A7V3,rpsC,b3314,INFORMATION STORAGE AND PROCESSING
P0AB77,kbl,b3617,METABOLISM
P0A6K6,deoB,b4383,METABOLISM
P21599,pykA,b1854,METABOLISM
P0A858,tpiA,b3919,METABOLISM
P31120,glmM,b3176,METABOLISM
P69797,manX,b1817,METABOLISM
P69441,adk,b0474,METABOLISM
P0AB91,aroG,b0754,METABOLISM
P21170,speA,b2938,METABOLISM
P0AEZ1,metF,b3941,METABOLISM
P39346,idnD,b4267,METABOLISM
P25526,gabD,b2661,METABOLISM
P00393,ndh,b1109,METABOLISM
P45464,lpoA,,
P77243,prpD,b0334,POORLY CHARACTERIZED
P76578,yfhM,b2520,POORLY CHARACTERIZED
P0ABT2,dps,b0812,METABOLISM
P0AB24,efeO,b1018,METABOLISM
P08506,dacC,b0839,CELLULAR PROCESSES AND SIGNALING
P0AEP3,galU,b1236,CELLULAR PROCESSES AND SIGNALING
P0A715,kdsA,b1215,CELLULAR PROCESSES AND SIGNALING
P0A7I4,prfC,b4375,INFORMATION STORAGE AND PROCESSING
P0A7V8,rpsD,b3296,INFORMATION STORAGE AND PROCESSING
P02359,rpsG,b3341,INFORMATION STORAGE AND PROCESSING
P23830,pssA,b2585,METABOLISM
P06129,btuB,b3966,METABOLISM
P0A9T0,serA,b2913,METABOLISM
P0A991,fbaB,b2097,METABOLISM
P52697,pgl,b0767,METABOLISM
P33221,purT,b1849,METABOLISM
P0A9Q9,asd,b3433,METABOLISM
P22256,gabT,b2662,METABOLISM
P18956,ggt,b3447,METABOLISM
P21165,pepQ,b3847,METABOLISM
P07004,proA,b0243,METABOLISM
P0A7B5,proB,b0242,METABOLISM
P0AEZ3,minD,b1175,CELLULAR PROCESSES AND SIGNALING
P77735,yajO,b0419,METABOLISM
P0ABJ1,cyoA,b0432,METABOLISM
P19926,agp,b1002,
P33136,mdoG,,
P0AE78,corC,,
P23836,phoP,b1130,CELLULAR PROCESSES AND SIGNALING
P0ABD3,bfr,b3336,METABOLISM
P09372,grpE,b2614,CELLULAR PROCESSES AND SIGNALING
P0ACC7,glmU,b3730,CELLULAR PROCESSES AND SIGNALING
P77239,cusB,b0574,CELLULAR PROCESSES AND SIGNALING
P60438,rplC,b3320,INFORMATION STORAGE AND PROCESSING
P62620,ispG,b2515,METABOLISM
P18133,pncB,b0931,METABOLISM
Q46829,bglA,b2901,METABOLISM
P07650,deoA,b4382,METABOLISM
P12758,udp,b3831,METABOLISM
P0A8F0,upp,b2498,METABOLISM
P0A717,prs,b1207,METABOLISM
P23908,argE,b3957,METABOLISM
P0AC38,aspA,b4139,METABOLISM
P0A9D8,dapD,b0166,METABOLISM
P60757,hisG,b2019,METABOLISM
P15288,pepD,b0237,METABOLISM
P15034,pepP,b2908,METABOLISM
P00893,ilvI,b0077,METABOLISM
P0AEU0,hisJ,b2309,METABOLISM
P0A6A3,ackA,b2296,METABOLISM
P05042,fumC,b1611,METABOLISM
P0ABA6,atpG,b3733,METABOLISM
P32176,fdoG,b3894,METABOLISM
P76177,ydgH,b1604,
P45578,luxS,b2687,CELLULAR PROCESSES AND SIGNALING
P0A8W8,yfbU,b2294,POORLY CHARACTERIZED
Q46857,dkgA,b3012,POORLY CHARACTERIZED
P39342,yjgR,b4263,POORLY CHARACTERIZED
P28635,metQ,b0197,METABOLISM
P0AAB6,galF,b2042,CELLULAR PROCESSES AND SIGNALING
P0A749,murA,b3189,CELLULAR PROCESSES AND SIGNALING
P37759,rfbB,b2041,CELLULAR PROCESSES AND SIGNALING
P0A7G6,recA,b2699,INFORMATION STORAGE AND PROCESSING
P15042,ligA,b2411,INFORMATION STORAGE AND PROCESSING
P21507,srmB,b2576,INFORMATION STORAGE AND PROCESSING
P07604,tyrR,b1323,INFORMATION STORAGE AND PROCESSING
P0AE18,map,b0168,INFORMATION STORAGE AND PROCESSING
P0A7W1,rpsE,b3303,INFORMATION STORAGE AND PROCESSING
P02358,rpsF,b4200,INFORMATION STORAGE AND PROCESSING
P0AEI1,miaB,b0661,INFORMATION STORAGE AND PROCESSING
P0AA39,rluC,b1086,INFORMATION STORAGE AND PROCESSING
P0AGJ9,tyrS,b1637,INFORMATION STORAGE AND PROCESSING
P0A6W9,gshA,b2688,METABOLISM
P23893,hemL,b0154,METABOLISM
P0A887,ubiE,b3833,METABOLISM
P77488,dxs,b0420,METABOLISM
P15877,gcd,b0124,METABOLISM
P09424,mtlD,b3600,METABOLISM
P33570,tktB,b2465,METABOLISM
P13482,treA,b1197,METABOLISM
P09323,nagE,b0679,METABOLISM
P15640,purD,b4005,METABOLISM
P0A7E1,pyrD,b0945,METABOLISM
P00963,asnA,b3744,METABOLISM
P04036,dapB,b0031,METABOLISM
P04968,ilvA,b3772,METABOLISM
P04693,tyrB,b4054,METABOLISM
P0AEQ3,glnH,b0811,METABOLISM
P07001,pntA,b1603,METABOLISM
P0AB67,pntB,b1602,METABOLISM
P37666,ghrB,b3553,METABOLISM
P76658,hldE,,
P31224,acrB,b0462,CELLULAR PROCESSES AND SIGNALING
P0A855,tolB,b0740,CELLULAR PROCESSES AND SIGNALING
P0ACJ8,crp,b3357,CELLULAR PROCESSES AND SIGNALING
P29217,yceH,b1067,POORLY CHARACTERIZED
P30871,ygiF,b3054,POORLY CHARACTERIZED
P63389,yheS,b3352,POORLY CHARACTERIZED
P04335,frsA,b0239,METABOLISM
P37329,modA,b0763,METABOLISM
P0AE08,ahpC,b0605,CELLULAR PROCESSES AND SIGNALING
P0AE52,bcp,b2480,CELLULAR PROCESSES AND SIGNALING
P0A6Z1,hscA,b2526,CELLULAR PROCESSES AND SIGNALING
P0ACA3,sspA,b3229,CELLULAR PROCESSES AND SIGNALING
P0A9P4,trxB,b0888,CELLULAR PROCESSES AND SIGNALING
P39099,degQ,b3234,CELLULAR PROCESSES AND SIGNALING
P0AEB2,dacA,b0632,CELLULAR PROCESSES AND SIGNALING
P0AGC3,slt,b4392,CELLULAR PROCESSES AND SIGNALING
P0A9P6,deaD,b3162,INFORMATION STORAGE AND PROCESSING
P06993,malT,b3418,INFORMATION STORAGE AND PROCESSING
P0AFG0,nusG,b3982,INFORMATION STORAGE AND PROCESSING
P00579,rpoD,b3067,INFORMATION STORAGE AND PROCESSING
P07012,prfB,b2891,INFORMATION STORAGE AND PROCESSING
P0ABU2,ychF,b1203,INFORMATION STORAGE AND PROCESSING
P0A6R0,fabH,b1091,METABOLISM
P77718,thiI,b0423,METABOLISM
P0A9C3,galM,b0756,METABOLISM
P62707,gpmA,b0755,METABOLISM
P0AF96,tabA,b4252,METABOLISM
P0A6L0,deoC,b4381,METABOLISM
P0A7D7,purC,b2476,METABOLISM
P25524,codA,b0337,METABOLISM
P00888,aroF,b2601,METABOLISM
P27248,gcvT,b2905,METABOLISM
P0A877,trpA,b1260,METABOLISM
P0A6F1,carA,b0032,METABOLISM
P04816,livK,b3458,METABOLISM
P0ADF6,edd,b1851,METABOLISM
P0ABH0,ftsA,b0094,CELLULAR PROCESSES AND SIGNALING
P0A9C0,glpA,b2241,METABOLISM
P08957,hsdM,b4349,CELLULAR PROCESSES AND SIGNALING
P10121,ftsY,b3464,CELLULAR PROCESSES AND SIGNALING
P11557,damX,b3388,POORLY CHARACTERIZED
P0A8M6,yeeX,b2007,POORLY CHARACTERIZED
P23839,yicC,b3644,POORLY CHARACTERIZED
P0A9U3,ybiT,b0820,POORLY CHARACTERIZED
P0A8E1,ycfP,b1108,POORLY CHARACTERIZED
P0A6P5,der,b2511,POORLY CHARACTERIZED
P0ADV7,mlaC,b3192,METABOLISM
P00448,sodA,b3908,METABOLISM
P08622,dnaJ,b0015,CELLULAR PROCESSES AND SIGNALING
P0ABC3,hflC,b4175,CELLULAR PROCESSES AND SIGNALING
P76403,yegQ,b2081,CELLULAR PROCESSES AND SIGNALING
P09147,galE,b0759,CELLULAR PROCESSES AND SIGNALING
P37747,glf,b2036,CELLULAR PROCESSES AND SIGNALING
P77211,cusC,b0572,CELLULAR PROCESSES AND SIGNALING
P0A8F8,uvrB,b0779,INFORMATION STORAGE AND PROCESSING
P0ACQ4,oxyR,b3961,INFORMATION STORAGE AND PROCESSING
P0ACP7,purR,b1658,INFORMATION STORAGE AND PROCESSING
P0A8N5,lysU,b4129,INFORMATION STORAGE AND PROCESSING
P0AG55,rplF,b3305,INFORMATION STORAGE AND PROCESSING
P0A847,tgt,b0406,INFORMATION STORAGE AND PROCESSING
P00954,trpS,b3384,INFORMATION STORAGE AND PROCESSING
P0AAI5,fabF,b1095,METABOLISM
P0AEK2,fabG,b1093,METABOLISM
P0A6T5,folE,b2153,METABOLISM
P30011,nadC,b0109,METABOLISM
P0A6T3,galK,b0757,METABOLISM
P0A6V8,glk,b2388,METABOLISM
P00946,manA,b1613,METABOLISM
P06999,pfkB,b1723,METABOLISM
P76015,dhaK,b1200,METABOLISM
P0A993,fbp,b4232,METABOLISM
P0AAG8,mglA,b2149,METABOLISM
P0AG80,ugpB,b3453,METABOLISM
P0A6D3,aroA,b0908,METABOLISM
P06986,hisC,b2021,METABOLISM
P06988,hisD,b2020,METABOLISM
P0AFK9,potD,b1123,METABOLISM
P76108,ydcS,b1440,METABOLISM
P0A9J8,pheA,b2599,METABOLISM
P30859,artI,b0863,METABOLISM
P00904,trpG,b1263,METABOLISM
P30125,leuB,b0073,METABOLISM
Q46851,gpr,b3001,METABOLISM
P77674,prr,b1444,METABOLISM
P26646,acuI,b3253,METABOLISM
P0AEE1,dcrB,b3472,
P64451,ydcL,b1431,
P63224,gmhA,,
P0ABQ0,coaB,,
P76372,wzzB,,
P0AAC0,uspE,b1333,CELLULAR PROCESSES AND SIGNALING
P0AA16,ompR,b3405,CELLULAR PROCESSES AND SIGNALING
P0A9K3,ybeZ,b0660,CELLULAR PROCESSES AND SIGNALING
P0ADE6,ygaU,b2665,POORLY CHARACTERIZED
P0A8G6,wrbA,b1004,POORLY CHARACTERIZED
P25522,mnmE,b3706,POORLY CHARACTERIZED
P36979,rlmN,b2517,POORLY CHARACTERIZED
P0A7B1,ppk,b2501,METABOLISM
P16676,cysA,b2422,METABOLISM
P45523,fkpA,b3347,CELLULAR PROCESSES AND SIGNALING
P0A6Y5,hslO,b3401,CELLULAR PROCESSES AND SIGNALING
P77689,sufD,b1681,CELLULAR PROCESSES AND SIGNALING
P22188,murE,b0085,CELLULAR PROCESSES AND SIGNALING
P37692,rfaF,b3620,CELLULAR PROCESSES AND SIGNALING
P39180,flu,b2000,CELLULAR PROCESSES AND SIGNALING
P21888,cysS,b0526,INFORMATION STORAGE AND PROCESSING
P0A805,frr,b0172,INFORMATION STORAGE AND PROCESSING
P0A707,infC,b1718,INFORMATION STORAGE AND PROCESSING
P0A7W7,rpsH,b3306,INFORMATION STORAGE AND PROCESSING
P14081,selB,b3590,INFORMATION STORAGE AND PROCESSING
P0AAI9,fabD,b1092,METABOLISM
P09127,hemX,b3803,METABOLISM
P31057,panB,b0134,METABOLISM
P31663,panC,b0133,METABOLISM
P04425,gshB,b2947,METABOLISM
P69783,crr,b2417,METABOLISM
P0A6V1,glgC,b3430,METABOLISM
P24215,uxuA,b4322,METABOLISM
P02924,araF,b1901,METABOLISM
P69811,fruB,b2169,METABOLISM
P69831,gatC,b2092,METABOLISM
P0AE12,amn,b1982,METABOLISM
P60560,guaC,b0104,METABOLISM
P0AG16,purF,b2312,METABOLISM
P07024,ushA,b0480,METABOLISM
P0A6C8,argB,b3959,METABOLISM
P05194,aroD,b1693,METABOLISM
P09053,avtA,b3572,METABOLISM
P00935,metB,b3939,METABOLISM
P06721,metC,b3008,METABOLISM
P16456,selD,b1764,METABOLISM
P21156,cysD,b2752,METABOLISM
P17854,cysH,b2762,METABOLISM
P0A6C5,argA,b2818,METABOLISM
P06987,hisB,b2022,METABOLISM
P07003,poxB,b0871,METABOLISM
P09394,glpQ,b2239,METABOLISM
P0ABA4,atpH,b3735,METABOLISM
P25437,frmA,b0356,METABOLISM
P38489,nfnB,,
P37744,rmlA,,
P0ABS1,dksA,b0145,CELLULAR PROCESSES AND SIGNALING
P45577,proQ,b1831,CELLULAR PROCESSES AND SIGNALING
P0A9Q1,arcA,b4401,CELLULAR PROCESSES AND SIGNALING
P0AG20,relA,b2784,CELLULAR PROCESSES AND SIGNALING
P37903,uspF,b1376,CELLULAR PROCESSES AND SIGNALING
P39177,uspG,b0607,CELLULAR PROCESSES AND SIGNALING
P0ADW3,yhcB,b3233,POORLY CHARACTERIZED
P0ADN2,yifE,b3764,POORLY CHARACTERIZED
P77774,bamB,b2512,POORLY CHARACTERIZED
P76113,curA,b1449,POORLY CHARACTERIZED
P25519,hflX,b4173,POORLY CHARACTERIZED
P0ACF8,hns,b1237,POORLY CHARACTERIZED
P0ACG1,stpA,b2669,POORLY CHARACTERIZED
P39831,ydfG,b1539,POORLY CHARACTERIZED
P0AC02,bamD,b2595,POORLY CHARACTERIZED
P39286,rsgA,b4161,POORLY CHARACTERIZED
P77247,yniC,b1727,POORLY CHARACTERIZED
P76536,yfeX,b2431,METABOLISM
P22255,cysQ,b4214,METABOLISM
P0A9K7,phoU,b3724,METABOLISM
P13024,fdhE,b3891,CELLULAR PROCESSES AND SIGNALING
P27249,glnD,b0167,CELLULAR PROCESSES AND SIGNALING
P0AC59,grxB,b1064,CELLULAR PROCESSES AND SIGNALING
P0AFL3,ppiA,b3363,CELLULAR PROCESSES AND SIGNALING
P0A862,tpx,b1324,CELLULAR PROCESSES AND SIGNALING
Q46845,yghU,b2989,CELLULAR PROCESSES AND SIGNALING
P0AG14,sohB,b1272,CELLULAR PROCESSES AND SIGNALING
P0A6J8,ddlA,b0381,CELLULAR PROCESSES AND SIGNALING
P37636,mdtE,b3513,CELLULAR PROCESSES AND SIGNALING
P36767,rdgC,b0393,INFORMATION STORAGE AND PROCESSING
P0A6X7,ihfA,b1712,INFORMATION STORAGE AND PROCESSING
P0A9F3,cysB,b1275,INFORMATION STORAGE AND PROCESSING
P76268,kdgR,b1827,INFORMATION STORAGE AND PROCESSING
P0ACJ0,lrp,b0889,INFORMATION STORAGE AND PROCESSING
P0A7J7,rplK,b3983,INFORMATION STORAGE AND PROCESSING
P68919,rplY,b2185,INFORMATION STORAGE AND PROCESSING
P0A7X3,rpsI,b3230,INFORMATION STORAGE AND PROCESSING
P0A9Q5,accD,b2316,METABOLISM
P10384,fadL,b2344,METABOLISM
P0A8K1,psd,b4160,METABOLISM
P69451,fadD,b1805,METABOLISM
P0AG84,yghA,b3003,METABOLISM
P0AEZ9,moaB,b0782,METABOLISM
P0AAB4,ubiD,b3843,METABOLISM
P0A759,nagB,b0678,METABOLISM
P0A8G3,uxaC,b3092,METABOLISM
P37349,dhaM,b1198,METABOLISM
P69805,manZ,b1819,METABOLISM
P39325,ytfQ,b4227,METABOLISM
P37051,purU,b1232,METABOLISM
P08331,cpdB,b4213,METABOLISM
P11446,argC,b3958,METABOLISM
P16703,cysM,b2421,METABOLISM
P29745,pepT,b1127,METABOLISM
P0A821,selA,b3591,METABOLISM
P30177,ybiB,b0800,METABOLISM
P0A6L2,dapA,b2478,METABOLISM
P37313,dppF,b3540,METABOLISM
P0AES0,gss,b2988,METABOLISM
P77444,sufS,b1680,METABOLISM
P00909,trpC,b1262,METABOLISM
P0AAG0,dppD,b3541,METABOLISM
P0AFD1,nuoE,b2285,METABOLISM
P30178,ybiC,b0801,METABOLISM
P25906,ydbC,b1406,METABOLISM
P0ABA0,atpF,b3736,METABOLISM
P24232,hmp,b2552,METABOLISM
P28304,qorA,b4051,METABOLISM
P25714,yidC,b3705,CELLULAR PROCESSES AND SIGNALING
P0AED0,uspA,b3495,CELLULAR PROCESSES AND SIGNALING
P0AF28,narL,b1221,CELLULAR PROCESSES AND SIGNALING
P0A8I3,yaaA,b0006,POORLY CHARACTERIZED
P0A8E7,yajQ,b0426,POORLY CHARACTERIZED
P0A8B5,ybaB,b0471,POORLY CHARACTERIZED
P76097,ydcJ,b1423,POORLY CHARACTERIZED
P43672,uup,b0949,POORLY CHARACTERIZED
P33920,yejK,b2186,POORLY CHARACTERIZED
P0ADR8,ygdH,b2795,POORLY CHARACTERIZED
P0A894,yhbJ,b3205,POORLY CHARACTERIZED
P46853,yhhX,b3440,POORLY CHARACTERIZED
P31658,hchA,b1967,POORLY CHARACTERIZED
P0A9V1,lptB,b3201,POORLY CHARACTERIZED
